Key,Section,English,Chinese,Japanese,Korean,German,French,Spanish,Portuguese,Russian,Arabic
"terms.integrations.content.accTitle","terms","Autodesk Construction Cloud (ACC)",,,,,,,,,
"docs.content.webTimeline.overviewDesc","docs","The Timeline & Gantt view provides visual project scheduling with task dependencies, milestones, and progress tracking. Plan your project timeline and monitor progress in real-time.",,,,,,,,,
"docs.content.webTimeline.ganttViewDesc","docs","The Gantt chart displays tasks as horizontal bars on a timeline. The length of each bar represents the task duration. Tasks are color-coded by status.",,,,,,,,,
"docs.content.webTimeline.schedulingDesc","docs","Schedule tasks using these methods:",,,,,,,,,
"docs.content.webTimeline.schedStep1","docs","Drag task bars horizontally to change start dates",,,,,,,,,
"docs.content.webTimeline.schedStep2","docs","Drag the edges of task bars to adjust duration",,,,,,,,,
"docs.content.webTimeline.schedStep3","docs","Set dates directly in the task properties panel",,,,,,,,,
"docs.content.webTimeline.dependenciesDesc","docs","Link tasks together to create dependencies. When a predecessor task moves, dependent tasks automatically adjust. Use the Relation property to link tasks together.",,,,,,,,,
"docs.content.webTimeline.milestones","docs","Milestones",,,,,,,,,
"docs.content.webTimeline.milestonesDesc","docs","Mark important project dates as milestones. Milestones appear as diamond shapes on the timeline and can be linked to tasks and deliverables.",,,,,,,,,
"docs.content.webTimeline.progress","docs","Progress Tracking",,,,,,,,,
"docs.content.webTimeline.progressDesc","docs","Track completion percentage for each task. The Gantt chart shows progress as a filled portion of the task bar, making it easy to see which tasks are on track.",,,,,,,,,
"docs.content.webCoordination.overviewDesc","docs","The Coordination module helps you manage multi-discipline clash detection and resolution. Sync clashes from Autodesk Construction Cloud and track resolution status.",,,,,,,,,
"docs.content.webCoordination.accSync","docs","ACC Sync",,,,,,,,,
"docs.content.webCoordination.accSyncDesc","docs","Connect to your ACC project to import coordination clashes:",,,,,,,,,
"docs.content.webCoordination.accStep1","docs","Navigate to the Coordination page",,,,,,,,,
"docs.content.webCoordination.accStep2","docs","Click 'Sync from ACC' and select your clash test",,,,,,,,,
"docs.content.webCoordination.accStep3","docs","Clashes are imported with their 3D viewpoints",,,,,,,,,
"docs.content.webCoordination.clashReview","docs","Reviewing Clashes",,,,,,,,,
"docs.content.webCoordination.clashReviewDesc","docs","Each clash includes a 3D viewpoint that zooms to the conflict location. Review clashes in context with the full model visible.",,,,,,,,,
"docs.content.webCoordination.issueTrackingDesc","docs","Assign clashes to team members, set priority and due dates, and track resolution status. Add comments and attachments to document the resolution process.",,,,,,,,,
"docs.content.webCoordination.disciplines","docs","Discipline Tags",,,,,,,,,
"docs.content.webCoordination.disciplinesDesc","docs","Tag clashes by discipline (MEP, Structural, Architectural) for filtering and reporting. Generate reports showing clash counts by discipline and status.",,,,,,,,,
"docs.content.webSheets.overviewDesc","docs","The Shop Drawings module provides 2D drawing viewing with markup tools and ACC Build integration. Review, annotate, and approve construction documents.",,,,,,,,,
"docs.content.webSheets.viewing","docs","Viewing Drawings",,,,,,,,,
"docs.content.webSheets.viewingDesc","docs","Upload PDF or DWG files to view in the browser. Navigate between pages, zoom, pan, and search for text within documents.",,,,,,,,,
"docs.content.webSheets.markup","docs","Markup Tools",,,,,,,,,
"docs.content.webSheets.markupDesc","docs","Annotate drawings with these markup tools:",,,,,,,,,
"docs.content.webSheets.markupTool1","docs","Pen and highlighter for freehand drawing",,,,,,,,,
"docs.content.webSheets.markupTool2","docs","Shapes including rectangles, circles, and arrows",,,,,,,,,
"docs.content.webSheets.markupTool3","docs","Text annotations with customizable styles",,,,,,,,,
"docs.content.webSheets.markupTool4","docs","Stamp tools for approval markups",,,,,,,,,
"docs.content.webSheets.accBuild","docs","ACC Build Integration",,,,,,,,,
"docs.content.webSheets.accBuildDesc","docs","Sync markups with ACC Build to share annotations with the field team. Markups created in InvoratecAI appear in ACC Build and vice versa.",,,,,,,,,
"docs.content.webSheets.versions","docs","Version Comparison",,,,,,,,,
"docs.content.webSheets.versionsDesc","docs","Compare different revisions of the same drawing to identify changes. The comparison view highlights additions, deletions, and modifications.",,,,,,,,,
"docs.content.webReports.overviewDesc","docs","The Reports & Analytics module provides project dashboards, team performance metrics, and exportable reports to keep stakeholders informed.",,,,,,,,,
"docs.content.webReports.dashboardDesc","docs","The dashboard shows key project metrics at a glance including task completion rates, upcoming deadlines, team activity, and milestone status.",,,,,,,,,
"docs.content.webReports.teamPerformance","docs","Team Performance",,,,,,,,,
"docs.content.webReports.teamPerformanceDesc","docs","Track team productivity with metrics like tasks completed, hours logged, and utilization rates. Identify bottlenecks and balance workloads across the team.",,,,,,,,,
"docs.content.webReports.budget","docs","Budget Tracking",,,,,,,,,
"docs.content.webReports.budgetDesc","docs","Monitor project costs against budget. Track spending by team member, milestone, or task category. Set alerts for budget thresholds.",,,,,,,,,
